5,1,Cagliari,Dante,Alto Adige,2,Plinio,Dionisio,Cagliari,3,Solito,Dante,Alto Adige,,,,
9,1,Salinella,Plateja,Dante,2,Solito,Plateja,Dante,3,Cicerone,Salinella,O.Flacco,,,,
10,1,Cagliari,Dante,C.Battisti,2,Catania,Dante,Siracusa,3,Dante,Pio XII,Cagliari,4,Terni,Solito,Catania
12,1,Dante,Cagliari,Magna Grecia
